cod,data,nr,denumire,cod_fisc,tva_art,total,baza_tva,tva,totalinc,baza_tvainc,tvainc,totaln,baza_tvan,tvan
21-22,10/27/2022,ANM03224,ANAM TREND SRL,RO23407373,19,476,400,76,0,0,0,476,400,76
21-22,2/28/2025,LC NR. 11057,LAROIAS COMPUTERS S.R.L.,RO18403146,19,59.23,49.77,9.46,0,0,0,59.23,49.77,9.46
21-22,3/29/2025,LC NR. 11304,LAROIAS COMPUTERS S.R.L.,RO18403146,19,59.23,49.77,9.46,0,0,0,59.23,49.77,9.46
21-22,4/29/2025,LC NR. 11531,LAROIAS COMPUTERS S.R.L.,RO18403146,19,59.24,49.78,9.46,0,0,0,59.24,49.78,9.46
21-22,5/29/2025,LC NR. 11754,LAROIAS COMPUTERS S.R.L.,RO18403146,19,60.15,50.55,9.6,0,0,0,60.15,50.55,9.6
21-22,6/29/2025,LC NR. 11988,LAROIAS COMPUTERS S.R.L.,RO18403146,19,60.43,50.78,9.65,0,0,0,60.43,50.78,9.65
6-7,7/4/2025,ESS 10039,ESO PETROL SRL,RO31681590,19,456.03,383.22,72.81,0,0,0,0,0,0
6-7,7/4/2025,DBW583,DRS BAM WASH CAR SRL,45169566,19,2125,1785.71,339.29,0,0,0,0,0,0
10,7/8/2025,90012501088976,AUTO  1 GROUP FR,29825358682,0,24112.08,24112.08,0,0,0,0,0,0,0
10,7/8/2025,10025010619550,AUTO 1 BERLIN,286118911,0,11217.87,11217.87,0,0,0,0,0,0,0
10,7/8/2025,10025010618892,AUTO 1 BERLIN,286118911,0,4178.21,4178.21,0,0,0,0,0,0,0
6-7,7/9/2025,SBC NR. 1425935,INTELLIGENT IT SRL,RO18990059,19,653.45,549.12,104.33,0,0,0,0,0,0
6-7,7/10/2025,TM536016644,REGISTRUL AUTO ROMAN RA,RO1590236,19,798.1,670.66,127.44,0,0,0,0,0,0
10,7/14/2025,90042501160132,AUTO1 EUROPEAN CARS BV,DE309458299,0,51318.1,51318.1,0,0,0,0,0,0,0
10,7/14/2025,10025010641276,AUTO 1 BERLIN,286118911,0,3175.63,3175.63,0,0,0,0,0,0,0
10,7/14/2025,10025010641268,AUTO 1 BERLIN,286118911,0,11046.09,11046.09,0,0,0,0,0,0,0
10,7/15/2025,90012501092336,AUTO  1 GROUP FR,29825358682,0,14847.38,14847.38,0,0,0,0,0,0,0
10,7/15/2025,10025010644989,AUTO 1 BERLIN,286118911,0,4845.84,4845.84,0,0,0,0,0,0,0
10,7/15/2025,10025010644978,AUTO 1 BERLIN,286118911,0,3784.23,3784.23,0,0,0,0,0,0,0
10,7/15/2025,90012501092337,AUTO  1 GROUP FR,29825358682,0,16330.59,16330.59,0,0,0,0,0,0,0
10,7/15/2025,10025010644993,AUTO 1 BERLIN,286118911,0,4932.19,4932.19,0,0,0,0,0,0,0
10,7/15/2025,10025010644980,AUTO 1 BERLIN,286118911,0,4393.77,4393.77,0,0,0,0,0,0,0
6-7,7/15/2025,EVOAB357559,EVOTRACKING SRL,RO24974708,19,60.45,50.8,9.65,0,0,0,0,0,0
6-7,7/18/2025,TM536017493,REGISTRUL AUTO ROMAN RA,RO1590236,19,798.1,670.66,127.44,0,0,0,0,0,0
6-7,7/18/2025,6010026067,BANCA TRANSILVANIA SA,RO5022670,19,59.5,50,9.5,0,0,0,0,0,0
6-7,7/20/2025,JAS022807075,ORANGE ROMANIA SA,RO9010105,19,911.99,766.38,145.61,0,0,0,0,0,0
10,7/22/2025,17012551014800,AUTO 1 CAR IT,IT04927460230,0,17081.84,17081.84,0,0,0,0,0,0,0
10,7/22/2025,10025010667863,AUTO 1 BERLIN,286118911,0,8923.73,8923.73,0,0,0,0,0,0,0
10,7/22/2025,10025010667804,AUTO 1 BERLIN,286118911,0,3118.23,3118.23,0,0,0,0,0,0,0
6-7,7/22/2025,ESS 10625,ESO PETROL SRL,RO31681590,19,429.95,361.3,68.65,0,0,0,0,0,0
6-7,7/24/2025,ESS 10711,ESO PETROL SRL,RO31681590,19,419.93,352.88,67.05,0,0,0,0,0,0
6-7,7/28/2025,TM536018176,REGISTRUL AUTO ROMAN RA,RO1590236,19,798.1,670.66,127.44,0,0,0,0,0,0
21-22,7/29/2025,LC NR. 12211,LAROIAS COMPUTERS S.R.L.,RO18403146,19,60.33,50.7,9.63,0,0,0,60.33,50.7,9.63
6-7,7/29/2025,ESS 10879,ESO PETROL SRL,RO31681590,19,344.88,289.82,55.06,0,0,0,0,0,0
6-7,7/31/2025,KEM20858,SC MOPEKA PETROKEM INC SRL,RO17237185,19,464.34,390.21,74.13,0,0,0,0,0,0
6-7,7/31/2025,18310612,RETIM ECOLOGIC SERVICE SA,RO9112229,19,174.85,146.93,27.92,0,0,0,0,0,0
6-7,7/31/2025,VIA1051,VASY & IANIS AUTO S.R.L.,44339280,19,6239,5242.86,996.14,0,0,0,0,0,0
10,7/31/2025,17012551015509,AUTO 1 CAR IT,IT04927460230,0,9636.15,9636.15,0,0,0,0,0,0,0
10,7/31/2025,10025010700864,AUTO 1 BERLIN,286118911,0,12692.5,12692.5,0,0,0,0,0,0,0
10,7/31/2025,10025010700860,AUTO 1 BERLIN,286118911,0,3553.9,3553.9,0,0,0,0,0,0,0
6-7,7/31/2025,DBW594,DRS BAM WASH CAR SRL,45169566,19,1035,869.75,165.25,0,0,0,0,0,0
10,7/31/2025,2025293,BF AUTOMOBILE,DE359474089,0,209172.4,209172.4,0,0,0,0,0,0,0
